Stock futures fall 2%, pointing to another volatile week as investors assess coronavirus impact  CNBC #news #CNBC	7844
Antibody tests for Covid-19 wrong half the time, CDC says.	509
A recent new #hydrochloroquine trial with a control group, has positive results. #COVID19	2809
Most #viral News Now: Long-struggling JC Penney files for bankruptcy as coronavirus crushes hopes for a quick t..	745
Of 7,959 NYC COVID-19 deaths fully investigated for underlying conditions, 99.2 percent had an underlying illness.	9365
Column: How Cedars-Sinai got sucked into the battle over Trump's claim of a COVID-19 treatment	3551
AT&amp;T Secures $5.5 Billion Loan, Touts Strong Cash Position to Weather COVID-19Crisis 	2350
Serendipitous good news for the environment: the number of international flights is plummeting dramatically:	5648
Based on a preliminary reportposted on MedRxix, which hosts unpublished medical research papers that have not been peer reviewed	10296
Volunteers Recruited by #Kushner Tangled the Hunt for Medical Supplies #COVID19 #coronavirus #corruption	791
Iceland study showed that around half of the Ghinese virus cases are asymptomatic.	1228
Trump disputes HHS IG report, repeats several other false claims at Monday's coronavirus briefing	1347
Sen. Richard Burr stepping down as Intelligence Committee chair amid investigation of his stock sales before coronavirus outbreak	1670
Mortgage forbearance requests jump nearly 2,000% as borrowers seek relief during coronavirus outbreak 	418
Good.New York nurses union on frontline of coronavirus outbreak sues state and two hospitals over war zone conditions	7214
SHAME ON office blocks public health officials from appearing on CNN - CNN	342
Hmmmm what other countries do this?We've been muzzled': CDC staffers say White House putting politics ahead of science - CNNPolitics	264
Nebraska reducing the number of COVID-19 tests it needs by 5X with #science	9431
Trump says 1,000 military personnel deploying to NYC to fight coronavirus	6986
More than 100,000 US Covid-19 deaths in under 4 months	5307
UK retailers suffer record fall in April amid COVID lockdown	9889
Several Italian mafia bosses have been released from prison under a new coronavirus regulation.	4474
Children are NOT immune to #COVIDCDC issues alert to doctors on rare #COVID19 related 'mystery illness' in kids	1850
Trumps meeting with Senate Republicans ends with no resolution on coronavirus economic plan - The Washington Post	1159
for states he wrong to say Obama administration failed to leave pandemic playbook.	1364
Markets rebound after worst yad since 1987 amid oorcnavirus panic	10104
#Marijuana sales up 50% in New York City amid #coronavirus pandemic, dealer says	289
America's Assholes - Rump administration waited 2 months before bolstering medical supplies for #coronavirus pandemic, review shows	7154
China buying $OIL $USO at $14 lots of storage capacity	6795
The facts are clear: States do not have enough coronavirus testing set up to safely re-open.	616
The New York Times: More Than 900 Children Have Been Expelled Under a Pandemic Border Policy.	3553
Coronavirus: California estimates 25.5 million residents will get it over 8 weeks from	3225
Amazon workers in Staten Island plan a wildcat strike over COVID-19!	6238
The rich are fleeing from #coronavirus into lavish bunkers	9240
Boeing to resume Dreamliner production at South Carolina plant next month after coronavirus closure from	5209
Japan COVID-19 doctors lack fresh masks, hazard pay: union survey (Reuters)	4698
Judges challenge coronavirus response in federal prisons: Come on, we're human beings. #Covid19	423
Iceland lab testing suggests 50% of coronavirus cases are asymptomatic -	1228
#UK volunteering soars during #coronavirus crisis | Volunteering | The Guardian	5334
Second-Highest Ever: March Gun Sales Spiked as Virus Fears Grew - The New York Times	2673
U.S. pushes Mexico to reopen border factories, even as more workers die from COVID-19	5147
Kareem Abdul-Jabbar defends protests and says racism is deadlier than Covid-19 in powerful LA Times op-ed. #GeorgeFloydMurder	751
Australias nearly 30 years long boom is coming to an end due to the coronavirus with	2340
Sunday #COVID19 WH Presser #factcheck: Trump falsely denies saying two things he said last week	6365
Judge Rules That Oregon Virus Restrictions Are Invalid | Oregon News | US News	7034
Quarter of Covid-19 deaths in English hospitals were of #diabetics #filpboard #feedly	3204
#Coronavirus task force advised Trump on #NY, #NJ, #CT #warning: Mnuchin	5179
Cancer patients are nearly three times more likely to die of covid-19 than non-cancer patients, study says	637
CDC estimates that 35% of #coronavirus patients don't have symptoms. #WearAMask #EverybodyWearAMask	918
Two Californians died of coronavirus weeks before previously known 1st US death - CNN 	772
One third of NHS staff &amp; key workers tested in the UK have coronavirus - CNN#Coronavirus #Covid19	5074
Farmer John meatpackers demand closing of Vernon plant struck by #COVID-19 outbreak #food #news	5757
L.A. is trying to move 15,000 high risk homeless people into hotel rooms before its too late.	1080
NHS procurement official privately selling PPE amid Covid-19 outbreak	1505
Prisons have begun shifting to become pandemic supply chains	5078
With a pandemic as cover, Netanyahu is carrying out a coup in Israel	7139
Thousands of medical workers are getting sick from #coronavirus	6490
It sounds more and more likely that Covid-19 escaped from US-funded Wuhan lab.	1628
CNBC - US auto sales recovering amid coronavirus pandemic but still significantly down from	8501
U.S. Justice Department warns California that coronavirus rules may violate religious freedomslets be clear what #BarrObfuscation is purposed.	190
You can learn more about why there is an inventory crisis with bicycles in the United States here:	9522
He was for the virus before he was against it	1560
Japan sets aside $22 million to buff government's global image amid #pandemic struggles	2717
London faces surge in rough sleepers as coronavirus funding runs out inJune	3033
Elon Musk donates ventilators to CA after calling coronavirus panic 'dumb'	8589
United warns of possible job cuts if government doesnt act quickly on coronavirus aid	6364
I can't even fathom 13,000,000 animals a day...coupled with the rest and it's just crazy.#coronavirus #Meat #Brazil #Billionaires	448
#China activist who called Xi clueless on #coronavirus faces years in jail for 'subversion' #covid19	1527
Tyson chairman warns of '#meat shortages' as industry faces scrutiny for worker safety during #coronavirus	6034
Reminder: Illegal miners brought #COVID2019 to an isolated Amazonian tribe in northern Brazil. #Bolsonaro #Trump	3512
#FromRussiaWithLove thank you for helping the american people meanwhile #trump is holding back 10000 #ventilators caring for the people by #AmericaFirst #coronavirus #coronavirus #trumpvirus	2821
Companies claiming Covid-19 support will face pressure to cut executive salaries	3956
#US #FossilFuel giants set for a #coronavirus bailout bonanza	420
Top US health official says the coronavirus is 10 times more lethal than the seasonal flu	681
Hospitals really do get bonus money for overcounting #COVID19 patients:Thecoronavirus relief legislation created a 20%premium, or add-on, for COVID-19 Medicare patients.	1169
HHS found someone even less qualified than Jared to head their pandemic task force.	425
Article tells the timeline of how Trump IGNORED the warnings about #COVID19 #coronavirus	877
According to CDC 5 days ago they claimed the opposite to actual deaths HIGHER than reported	2260
As L.A. coronavirus deaths rise, nursing home testing lags - Los Angeles Times.	7435
Two thirds of severaly disease-affected patients improved after #Remdesivir treatment.	3535
COVID-19 death toll in England 41% higher than early data suggested: ONS | Reuters #COVID19UK #COVID19 #CORONAVIRUS #clapforBoris	458
WTAF!UK is bulk buying hydroxychloroqine as potential Covid-19 treatment | World news | The Guardian	2481
#US #navy official #apologizes for #calling #captain behind coronavirus memo '#naive or #stupid'	5047
Trump's Bible teacher says gays among those to blame for COVID-19	1424
Poachers Kill More Rhinos as #Coronavirus Halts Tourism to Africa - The New York Times	524
Keep pumpingMortgage forbearance requests jump nearly 2,000% during coronavirus outbreak from	418
Duckworth Leads Call For Investigation Into Suspicious Deletion Of Online Information On The Strategic National Stockpile #test	1399
As usual, in a very typical manner, #Chase #JPMorgan is cheating people out of the #coronavirus money due to them..	8751
Just 4% of inmates with corona virus show symptoms	345
THE CRIMES BEGIN: Trump removes independent watchdog from overseeing coronavirus emergency funds #thief	107
Florida coronavirus patient lives on thanks to Trump-backed drug	1173
Maryland and Virginia will allow jurisdictions hard-hit by coronavirus to opt out of reopening	10148
Black and Latino workers are overrepresented among the essential, the unemployed, and the dead.	5189
AT&amp;T Details $430M Virus Pandemic Hit, Talks WarnerMedia Cost Cutting Amic COVID-19 Impact 	3748
#Coronavirus will shrink US #homeprices by 2-3% nationally. #realestate #housingmarket	6136
But sure, let's have packed churches on Easter.Nearly 3 dozen who attended event at Arkansas church test positive for #coronavirus #COVID19	1614
Coronavirus keeps killing many of Mexico's health workers - Los Angeles Times	436
Coronavirus crisis sends nation's unemployment rate to 14.7% - biggest labor market shock in U.S. history	3863
#Covid19 death toll: US excess fatalities hit estimated 37,100 in pandemic's early days	4214
Georgia is reopening hair salons, gyms and bowling alleys despite a rise in coronavirus deaths statewide - CNN	1092
This is just STUPID....ONLY IN THE US....Missouri is suing China over coronavirus impacts	233
CDC contractor did not follow coronavirus rules, whistleblower says - Flynx	1608
In January and February, the threat of this novel #coronavirus appeared in the President's Daily Briefing more than a dozen times.	318
Coronavirus Vaccine Research Gets $8 Billion in Pledges From World Leaders - The New York Times.	693
A new high for coronavirus deaths 3,400 in California as counties push ahead with reopening.	6551
China to introduce new Hong Kong security law amid protests, coronavirus #nmpol #nmsen #nmleg #abq #Albuquerque #newmexico	4756
We were warned by on January 29 When the pandemic was just getting started in China	422
Kenya coronavirus: Testing truckers at Tanzania border created perfect conditions for covid to spread	3812
#COVID19 #Trump Dow erases all gains made since Trump took office	1567
Statewide Covid19 infection rate in New York actually 10 times greater than reported in April.	1360
L.A. coronavirus deaths spike, 42 new fatalities in a day - Los Angeles Times 	7161
Coronavirus in NY: Restaurants Announce Mass Layoffs as Pandemic Puts City in Chokehold	3046
Global report: Trump threatens to cut trade ties over Covid-19 branded 'lunacy' by Chinese media	106
Trump administration won't reopen Obamacare enrollment for uninsured as coronavirus spreads. #MedicareForAll #COVID19	3918
#COVID19 #coronavirusThe way these states handled coronavirus shows India's vast divide	511
when #Taiwan is holding vital information #Chinazi still holds them out of #WHO Again China don't care about human life	7532
Coronavirus restrictions: Trump defends protesters - Los Angeles Times VOTE BLUE Shutdown trump and his Administration	7897
A #ventilators Stockpile, With One Hitch: Thousands Do Not Work - The New York Times #COVID2019 #coronavirus	4217
Ha, the money quote:Burr was one of only three senators who voted against the STOCK Act. #coronavirus	1150
(In only 3 months) Coronavirus has killed more Americans than the Vietnam War	45
A recent financial literacy test shows American adults still not achieving a passing grade	3454
Coronavirus in NYC: 98 people die in less than 7 hours	2333
Cuomo's mistakes account for a LARGE portion of the country's deaths due to virus.	5797
DC nearly seven weeks into the shutdown, heres why so many are still getting sick	2792
Boston #coronavirus: More than 150 employees at 4 hospitals have tested positive - CNN	1528
A woman in North Carolina contracted the coronavirus even though she had not left her house in three weeks	5529
Surprising exactly no one whos been paying attention...States moving forward with reopening are already seeing increases in new cases	854
L.A. has nearly half of California's 75,000 coronavirus cases.	6990
Grocery stockpiling is most severe near coronavirus clustersthen there's Colorado  CNBC #news #CNBC	819
Top vaccine expert claims he was fired for resisting Trump on hydroxychloroquine | The Guardian	4495
What a surprise...Wealthiest Hospitals Got Billions in Coronavirus Bailout - The New York Times	4828
#coronavirus #COVID19 Farms Going Toeard Under Bankruptcy Before Coronavirus (Jan. 2020) Trump Was Slowly Selling American Farmers Out #farming #Trucking	6691
You'd think that there's be a greater need: Thousands of #healthcareworkers are laid off or furloughed as coronavirus spreads	1772
As #coronavirus death toll nears 100,000, some very #stupid Americans broke from #SocialDistancing during #MemorialDay holiday weekend.	9230
Coronavirus rescue checks may shortchange Americans on Social SecurityElder veterans lose the most	7272
A look at the Supreme Court's decision yesterday regarding order to expeditiously release #Ohio inmates due to pandemic:	185
No!Nursing home industry pushes for legal immunity during COVID-19 emergency	2256
Meanwhile, they are massing northeast of Bangkok ... Mass monkey brawl highlights #coronavirus effect on #Thailand -  tourism	1351
Gilead shares up 16.5% yesterday Report: Covid-19 patients recovering quickly after getting experimental drug	7625
This is your reminder that the Ukrainian civil war started with masked men with rifles stormed the Crimea government Building	9977
A dog whistle to his cult followers Trump says he'll suspend immigration green cards amid coronavirus outbreak #SmartNews	44
A #hairstylist worked while symptomatic and exposed 91 people to #COVID19&amp; folks are STILL rushing out	437
Bishops relieve Catholics from giving up meat on Lenten Fridays during Coronavirus crisis 	2423
Workers say New York City hospital dragged its feet on coronavirus protections as the pandemic spread	9635
UK government expands overdraft with Bank of England - Reuters	6282
Up to 30 million people are expected to lose their employer-based health insurance in the coming months. #JoeBiden #UniversalHealthcare#MedicareForAll	274
Language barriers afflict California's indigenous Mexicans and Guatemalans amid coronavirus	3042
The Murdoch medias China coronavirus conspiracy has one aim: get Impeached re-elected #cdnpoli #uspoli #carnies #grifters	4617
87,000 Missing Deaths: Tracking the True Toll of the Coronavirus Outbreak	635
Coronavirus: Expect a 'flood' of retail bankruptcies, says Related's Stephen Ross	6617
man shoots five people for 'talking too loud' during coronavirus lockdown	7013
Almost three times as many black people are dying of the virus in the US compared to white people #BlackLivesMatter #KempKills #gapol	3638
Trump pledged to help NY with coronavirus testing: Andrew Cuomo	7632
Literally taking money out of the pocket of its furloughed and soon to be laid off workers. #coronavirus	222
Army Decides a Pandemic Is a Good Time to Give #GOP Donors $569 Million to Build the Wall. #COVID19 #Health #Stimulus #Trump	6746
Coronavirus Class Conflict Is Coming - A similar phenomenon happened when cholera struck Hamburg in 1892 #COVID19	6885
Jeff Bezos memo about coronavirus safety at Amazon warehouses	2707
Fed seeks banks' advice as it gets into direct financing with coronavirus relief from	5906
Huge undercount in Brazil conceals Latin Americas largest outbreak	7590
In New Yorks largest hospital system, 88 percent of coronavirus patients on ventilators didnt make it	1046
Coronavirus cases soar to more than 8,700 in California as death toll nears 200	2219
'Blood on their hands:' Teachers say de Blasio and Carranza helped spread coronavirus	1
Fox has parted ways with a host who called coronavirus a scam perpetrated by Trumps enemies	8641
Doctors find more cases of 'COVID toes' in dermatological registry	1921
Republicans are laying plans to use coronavirus to cut Social Security - Los Angeles Times 	1349
Pence's office blocks public health officials from appearing on CNN #SmartNews who is playing politics now.	342
Kushner Firm Built Coronavirus Website Trump Promised - The Atlantic ...	149
Vast majority of tax provision in coronavirus law goes to millionaires, JCT finds - The Washington Post This is horrendous	2108
As coronavirus kills another Amazon worker, the companys response is adding to employees fears #SmartNews	4833
#Breaking Social Security Offices are CLOSING due to the #CoronavirusOutbreakHere's what that means for you	2338
Another sad effect of strongly reduced tourism in Africa Coronavirus: Poachers kill more animals as tourism to Africa plummets	4161
ICYMI: Coronavirus: Air pollution has fallen dramatically for these cities#CleanAir	3066
Trump Organization seeks coronavirus bailouts for president's nearly bankrupt golf resorts in Ireland and Scotland - USA TODAY 	3047
Part 2 captain hero story , now Navy secretary apologizes after ripping captain who pleaded for coronavirus help from	1404
Coronavirus in NY: Some trucks storing bodies are 'dark, dirty, packed'	3665
As obesity's link to coronavirus grows, one family that lost a 24-year-old daughter diets together	9745
#TrumpPandemicFailure: Study estimates 24 states still have uncontrolled #coronavirus spread	498
Trump approval rating drops as coronavirus drags on, poll says new polls reflecting latest jobs data.	3041
Revealed: UK scientists' fury over attempt to censor #COVID19 advice	575
Important to note: younger adults are large percentage of #coronavirus hospitalizations in US	2327
Michigan has the highest #coronavirus fatality rate in US #naturalselection	514
#trump lied 'We've been muzzled': CDC staffers say White House putting politics ahead of science - CNNPolitics	264
In four U.S. state prisons, nearly 3,300 inmates test positive for #coronavirus -- 96% without symptoms - Reuters - #rr	345
'Powder keg' at Chuckawalla Valley State Prison with 110 cases of COVID-19 in two weeks	5060
Executive Branch Denies Legislative Branch Access to Top Covid-19 Expert	3984
Covid-19 brings new dangers for immigrants, as they are now being focused on more.	2302
1st inmate to die of coronavirus wrote heartbreaking letter to judge 	1968
Egomaniac is going to put 1,000 cadets at risk because hes an unrestrained egomaniac.	5163
Not good enough: How Rep. Katie Porters relentless questioning led the CDC chief to promise free coronavirus testing	4609
Men have high levels of enzyme key to COVID-19 infection :	724
This is no 2008: #Mnuchin borrows from Paulson's economic crisis playbook - Reuters - #coronavirus	1017
7 days ago it was 60k tests by USA and 290k for South Korea...Is what he says true?	484
Los Angeles Department of Health is only testing individuals with severe enough symptoms for hospitalization. #CoViD19	779
Poll: Six-in-10 support keeping stay-at-home restrictions to fight coronavirus	360
Research finds huge impact (66% reduction in cases) of interventions on spread of Covid-19	9120
Germany tries to stop U.S. from luring away firm seeking coronavirus vaccine | Reuters	2828
Europe seeks to limit crisis with unprecedented offers to pay private-sector salaries	4350
US: More than half of the country goes into first weekend with loosened #coronavirus restrictions	4705
Maryland has received 'hundreds of calls' about ingesting disinfectants to treat coronavirus, governor says	1186
Bill to cancel student debt of health-care workers fighting coronavirus introduced in House	2336
Over half of corona patients have recovered #COVID #COVID19	8168
Dow futures tumble 900 points as all-out oil price war adds to coronavirus stress  CNBC #news #CNBC	6436
Meanwhile, they are massing northeast of Bangkok ... Mass monkey brawl highlights #coronavirus effect on #Thailand tourism - 	1351
California lawmakers question states vetting of failed coronaviruscontracts	9533
A jump in hospital admissions suggests that most coronavirus cases have gone undetected in America's fourth biggest city. #covid19	272
#AirPollution linked to far higher #COVID19 death rates, study finds #environment	968
China's Ports Brace for Second Hit as Virus Spread Wipes Out Exports	9154
European stocks close -11.0% lower in worst one-day drop ever on coronavirus fears #Healthinnovations #pharma #banking #stocks #Brexit #coronavirus 	4936
Authorities nationwide are reporting an uptick in fatal opioid overdoses during social distancing.	722
Domestic abuse killings more than double amid Covid-19 lockdown	4487
Citing a 'primary outcome' of death, researchers cut chloroquine study short from Way to go,	794
#PartyOfScience mandating children who statistically cannot die from #COVID19 nor transmit it must remain under lockdown in perpetuity.	5045
#Coronavirus killing more than a person an hour in #NYC  #COVID19	2091
HGTV, Food Network ratings up due to coronavirus shut-ins	10159
Spy agencies pushed by Donald Trump administration to link coronavirus and Wuhan labs, say former US officials - Firstpost	2562
Trump blocks disclosure on coronavirus supplies - Los Angeles Times	905
Trump continues to flout coronavirus protocols even after Pence aide Katie Miller tests positive for the illness.	564
Government report predicts coronavirus cases will surge to 200,000 a day by June 1 #COVID19 #TrumpCoronavirusTestFailure #TrumpLiesPeopleDie	1350
Unapproved Chinese coronavirus tests being used in at least 2 states 	3423
Jerry Falwell Misled Me on Reopening Liberty University After Coronavirus, City Manager Says	7956
As America became the epicenter of the global coronavirus pandemic, MAGA'ist trump downplayed the escalating national crisis.	4689
Treasury yields fall as US-China dispute resurfaces overcoronavirus	8234
#PompousPompeo #Pompeo State Department hiding facts on US virus interest and risks going back to 2018 WHY ?	220
Singapore Airlines taps investors for up to $10.5 billion amid coronavirus shock - Reuters	1515
Cases of novel coronavirus have been confirmed in 47 states as of Thursday, March 12./	5916
Anonymous Bonus of $1 Million given to Hospital Workers.	3138
Two days after their guidelines said COVID-19 does not spread easily on surfaces, a clarification was issued.	9959
House passes $484 billion bill with money for small businesses, hospitals and testing	9307
#Fauci has become a public target for some #rightwing commentators and #bloggers, who exercise influence over parts of the #presidents base#WorstPresidentEver #DrFauci #coronavirus #COVIDIOTS #Trump	3474
